,id_utente,eta_utente,nazionalita_utente,occupazione_utente,categoria_preferita1,categoria_preferita2,categoria_preferita3,durata_media_sessioni,contenuto_preferito,durata_contenuto_preferito,attore_preferito,regista_preferito
0,1,25,0,0,0,2,13,45,0,30,0,0
1,2,35,1,1,1,10,6,50,1,148,1,1
2,3,42,2,2,2,8,10,55,2,60,2,2
3,4,8,3,3,3,0,16,40,3,22,3,3
4,5,31,4,4,4,8,2,60,4,90,4,4
5,6,29,0,5,0,6,12,50,5,45,5,5
6,7,38,5,6,5,11,17,65,6,60,6,6
7,8,33,4,7,1,7,10,55,7,55,7,7
8,9,45,2,8,6,12,9,50,8,201,8,8
9,10,27,1,0,0,13,2,45,9,128,9,9
10,11,36,0,9,5,14,18,60,10,45,6,10
11,12,30,3,1,2,13,19,65,11,50,10,11
12,13,29,4,10,7,10,4,55,12,45,11,12
13,14,34,1,11,2,8,10,55,13,55,12,13
14,15,40,0,4,0,13,2,45,14,22,13,14
15,16,5,2,3,3,0,16,40,15,22,14,15
16,17,39,0,2,5,15,20,60,16,45,15,16
17,18,32,4,12,0,6,12,50,17,22,16,17
18,19,28,3,1,7,10,4,55,18,55,6,18
19,20,37,1,5,8,2,10,60,19,50,17,19
20,21,41,0,13,0,9,12,50,20,60,18,20
21,22,24,4,0,9,12,6,50,21,159,19,21
22,23,29,2,9,2,13,21,65,22,134,20,22
23,24,35,1,4,1,10,6,50,23,164,9,23
24,25,38,4,7,0,13,2,45,0,22,0,0
25,26,43,0,8,5,8,4,55,24,50,6,24
26,27,31,3,1,3,0,16,40,25,22,21,25
27,28,27,4,10,7,10,4,55,12,45,11,12
28,29,33,1,11,2,8,10,55,13,55,12,13
29,30,40,0,4,0,13,2,45,14,22,13,14
30,31,26,2,0,3,0,16,40,26,22,22,26
31,32,39,0,2,5,15,20,60,16,45,15,16
32,33,32,4,12,0,6,12,50,17,22,16,17
33,34,28,3,1,7,10,4,55,18,55,6,18
34,35,37,1,5,8,2,10,60,19,50,17,19
35,36,42,0,13,0,9,12,50,20,60,18,20
36,37,25,4,0,9,12,6,50,21,159,19,21
37,38,30,2,9,2,13,21,65,22,134,20,22
38,39,35,1,4,1,10,6,50,23,164,9,23
39,40,8,0,3,3,0,16,40,27,22,23,27
40,41,29,3,6,0,13,2,45,14,22,13,14
41,42,26,4,14,7,10,4,55,12,45,11,12
42,43,31,1,15,2,8,10,55,13,55,12,13
43,44,35,0,8,0,13,2,45,0,22,0,0
44,45,9,2,3,3,0,16,40,28,22,24,28
45,46,38,4,9,5,15,20,60,16,45,15,16
46,47,32,3,7,0,6,12,50,17,22,16,17
47,48,40,4,6,7,10,4,55,18,55,6,18
48,49,37,1,11,8,2,10,60,19,50,17,19
49,50,41,0,4,0,9,12,50,20,60,18,20
50,51,8,4,3,3,0,16,40,15,22,14,15
51,52,25,3,0,2,13,21,65,22,134,20,22
52,53,36,2,1,1,10,6,50,23,164,9,23
53,54,29,4,5,0,13,2,45,0,22,0,0
54,55,30,1,9,7,10,4,55,12,45,11,12
55,56,33,0,11,2,8,10,55,13,55,12,13
56,57,7,3,3,3,0,16,40,27,22,23,27
57,58,35,4,6,0,13,2,45,14,22,13,14
58,59,28,2,14,7,10,4,55,12,45,11,12
59,60,39,4,15,2,8,10,55,13,55,12,13
60,61,10,0,3,3,0,16,40,3,22,3,3
61,62,39,3,1,1,10,6,50,1,148,1,1
62,63,42,1,2,2,8,10,55,2,60,2,2
63,64,6,4,3,3,0,16,40,15,22,14,15
64,65,31,2,4,4,8,2,60,4,90,4,4
65,66,29,0,5,0,6,12,50,5,45,5,5
